Year,City,State,Country,,
1980, Northfield, Minnesota,United States,,
1980, Stillwater, Minnesota,United States,,
1980, Burnsville,Minnesota,United States,,
1980, Scarborough, New York,United States,,
1980, Kalamazoo, Michigan,United States,,
1980, Anchorage, Alaska,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Austin, Minnesota,United States,,
1980, Carlisle, Massachusetts,United States,,
1980, Knoxville, Tennessee,United States,,
1980, Delaware, Ohio,United States,,
1980, Hinsdale, Illinois,United States,,
1980, Pittsburgh, Pennsylvania,United States,,
1980, Wilmette, Illinois,United States,,
1980, Roseville, Minnesota,United States,,
1980, Anchorage, Alaska,United States,,
1980, Huntington,NewYork,United States,,
1980, Rochester, Minnesota,United States,,
1980, Burt, Iowa,United States,,
1980, Winona, Minnesota,United States,,
1980, St Louis, Missouri,United States,,
1980, Duluth, Minnesota,United States,,
1980, Nairobi, Kenya,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, New York, New York,United States,,
1980, Bronx, New York,United States,,
1980, Le Sueur, Minnesota,United States,,
1980, Richardson, Texas,United States,,
1980, Woodstock, Illinois,United States,,
1980, Marshalltown, Iowa,United States,,
1980, Hudson, Wisconsin,United States,,
1980, Watseka, Illinois,United States,,
1980, Duluth, Minnesota,United States,,
1980, North Platte, Nebraska,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Bronxville,NewYork,United States,,
1980, Olympia Fields, Illinois,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Elk Grove, Illinois,United States,,
1980, Sioux City, Iowa,United States,,
1980, Aurora, New York,United States,,
1980, Los Angeles, California,United States,,
1980, St Louis,Missouri,United States,,
1980, Denver, Colorado,United States,,
1980, Wilmette, Illinois,United States,,
1980, Hendricks, Minnesota,United States,,
1980, Ypsilanti, Michigan,United States,,
1980, Londonderry, New Hampshire,United States,,
1980, Anchorage, Alaska,United States,,
1980, Kent, Ohio,United States,,
1980, Roseville, Minnesota,United States,,
1980, Troy, Ohio,United States,,
1980, Santa Barbara, California,United States,,
1980, St Paul,Minnesota,United States,,
1980, Painesville, Ohio,United States,,
1980, Edina, Minnesota,United States,,
1980, Apple Valley, Minnesota,United States,,
1980, Lake Forest, Illinois,United States,,
1980, Shakopee,Minnesota,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Columbia, Missouri,United States,,
1980, Burke, Virginia,United States,,
1980, Harbour Heights, Florida,United States,,
1980, Ann Arbor, Michigan,United States,,
1980, Dickinson, North Dakota,United States,,
1980, Lexington, Massachusetts,United States,,
1980, Lake Elmo, Minnesota,United States,,
1980, South Holland, Illinois,United States, ,
1980, Billings, Montana,United States,,
1980, Elmhurst, Illinois,United States,,
1980, West Bend, Wisconsin,United States,,
1980, Napoleon, Ohio,United States,,
1980, Acton, Massachusetts,United States,,
1980, Los Angeles, California,United States,,
1980, Bloomington, Indiana,United States, ,
1980, Santa Barbara, California,United States,,
1980, New Brighton, Minnesota,United States,,
1980, Rochester, Minnesota,United States,,
1980, West Des Moines, Iowa,United States,,
1980, Edina, Minnesota,United States,,
1980, Stamford, Connecticut,United States,,
1980, Colorado Springs, Colorado,United States,,
1980, Minneapolis, Minnesota,United States,,
1980, Hyderabad,,India,,
1980, Oxted,,England, ,
1980, Rochester,Minnesota,United States,,
1980, Tenafly, New Jersey,United States,,
1980, Madison, Wisconsin,United States,,
1980, Lincolnwood, Illinois,United States,,
1980, Indianapolis,Indiana,United States,,
1980, LosGatos,California,United States,,
1980, St LouisPark,Minnesota,United States,,
1980, Providence,RhodeIsland,United States,,
1980, Corvallis, Oregon,United States,,
1980, Chicago, Illinois,United States,,
1980, Bordentown,New Jersey,United States,,
1980, Stillwater, Minnesota,United States,,
1980, Boulder, Colorado,United States,,
